NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PERS_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GECOMPLR,CHECKER,ENT_DATE,BEG_CHG_TY,END_CHG_TY
Xuyi Jun,盱眙军,盱眙軍,0.0,0.0,,Jun,军,3,1142,4,1230,4,91485,POLYGON,91485,FROM_FD,邹逸麟,满志敏,,2005/01/25,更名,更名
Zhaoxin Jun,招信军,招信軍,0.0,0.0,,Jun,军,3,1231,4,1275,4,91486,POLYGON,91486,FROM_FD,邹逸麟,满志敏,,2005/01/25,更名,辖区扩大
Zhaoxin Jun,招信军,招信軍,0.0,0.0,,Jun,军,3,1276,4,1276,4,91487,POLYGON,91487,FROM_FD,邹逸麟,满志敏,,2005/01/25,辖区扩大,更名
Zhaoxin Lu,招信路,招信路,0.0,0.0,,Lu,路,3,1277,4,1277,4,91488,POLYGON,91488,FROM_FD,邹逸麟,满志敏,,2005/01/25,更名,更名
Linhuai Fu,临淮府,臨淮府,0.0,0.0,,Fu,府,3,1278,4,1279,4,91471,POLYGON,91471,FROM_FD,邹逸麟,满志敏,,2005/01/25,更名,辖区缩小
Linhuai Fu,临淮府,臨淮府,0.0,0.0,,Fu,府,3,1280,4,1282,4,91472,POLYGON,91472,FROM_FD,邹逸麟,满志敏,,2005/01/25,辖区缩小,撤销
Wu Zhou,吴州,吳州,0.0,0.0,,Zhou,州,3,620,4,623,4,91401,POLYGON,91401,FROM_FD,王文楚,满志敏,,2005/01/25,新建,撤销
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,937,4,957,4,91378,POLYGON,91378,FROM_FD,王文楚,满志敏,,2005/01/25,新建,辖区缩小
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,958,4,975,4,91379,POLYGON,91379,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区缩小
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,976,4,1121,4,91380,POLYGON,91380,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区缩小
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1122,4,1126,4,91428,POLYGON,91428,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区扩大
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1127,4,1129,4,91427,POLYGON,91427,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,辖区缩小
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1130,4,1134,4,91381,POLYGON,91381,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区变化
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1135,4,1139,4,91426,POLYGON,91426,FROM_FD,王文楚,满志敏,,2005/01/25,辖区变化,辖区扩大
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1140,4,1141,4,91372,POLYGON,91372,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,辖区缩小
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1142,4,1160,4,91373,POLYGON,91373,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区缩小
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1161,4,1165,4,91430,POLYGON,91430,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区扩大
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1166,4,1176,4,91429,POLYGON,91429,FROM_FD,王文楚,满志敏,,2005/01/25,辖区扩大,辖区缩小
Tai Zhou,泰州,泰州,0.0,0.0,,Zhou,州,3,1177,4,1276,4,91340,POLYGON,91340,FROM_FD,王文楚,满志敏,,2005/01/25,辖区缩小,辖区扩大
Taizhou Lu,泰州路,泰州路,0.0,0.0,,Lu,路,3,1277,4,1283,4,33303,POLYGON,91103,FROM_FD,王文楚,满志敏,,2004/09/25,辖区扩大,撤销
Tong Zhou,通州,通州,0.0,0.0,,Zhou,州,3,958,4,1022,4,91356,POLYGON,91356,FROM_FD,王文楚,满志敏,,2005/01/25,新建,更名
Chong Zhou,崇州,崇州,0.0,0.0,,Zhou,州,3,1023,4,1032,4,91357,POLYGON,91357,FROM_FD,王文楚,满志敏,,2005/01/25,更名,更名
Tong Zhou,通州,通州,0.0,0.0,,Zhilizhou,直隶州,3,1033,4,1277,4,33300,POLYGON,91100,FROM_FD,王文楚,满志敏,,2004/09/25,更名,更名
Tongzhou Lu,通州路,通州路,0.0,0.0,,Lu,路,3,1278,4,1283,4,33301,POLYGON,91101,FROM_FD,王文楚,满志敏,,2004/09/25,更名,撤销
Tong Zhou,通州,通州,0.0,0.0,,Zhilizhou,直隶州,3,1724,4,1767,4,91118,POLYGON,91118,FROM_FD,王文楚,满志敏,,2004/09/25,新建,辖区缩小
Tong Zhou,通州,通州,0.0,0.0,,Zhilizhou,直隶州,3,1768,4,1903,4,91119,POLYGON,91119,FROM_FD,王文楚,满志敏,,2004/09/25,辖区缩小,辖区缩小
